user_id,has_sip,has_insurance
0007fd2f-fab1-4f30-9ae7-f44905b7b5e9,Yes,No
000a38ee-80bf-4fca-a067-35c4a07c7fe0,Yes,No
001dadff-1401-4010-b17f-3b56f14f2c0f,Yes,No
00272695-1b40-43e6-9cd7-c40a594579b3,Yes,No
00603ef4-e37d-4772-8fc0-17f628ac5174,Yes,No
00635197-6542-4e98-abd7-1141149c931b,Yes,No
0074453c-a56b-486a-9d38-2a03f6ac1136,Yes,No
00c1c445-7dfd-4c49-ba19-49f32254b623,Yes,No
00f0e6a4-707c-4809-a0a4-9a11d0862a58,Yes,No
00f110b8-fb52-42ab-b2b8-d34f1d60b2bb,Yes,No
00fc0ab8-66d2-47a7-b505-1da54047caa5,Yes,No
0108f891-3545-4561-b49a-ef7b1538df4c,Yes,No
0109614b-1351-4a7f-896d-9e6be863792b,Yes,No
01132f33-1759-455b-8431-9c840eb69bf1,Yes,No
01430e6a-978c-4c2b-838c-8331cce43e1d,Yes,No
01459046-e2c5-4057-ad52-53987a726089,Yes,No
014ccaa4-a2d9-41c5-86c7-007a4f30711e,Yes,No
01549109-d4a1-4a4d-94c8-a2383b2eb07d,Yes,No
015c44d4-0da2-4461-b51a-dc1e0c74baf5,Yes,No
0169d596-d4fa-4acc-838a-153d6ba76bb9,Yes,No
017c0383-7a1a-4cd5-bbd1-ecd9da3e039a,No,Yes
0181da72-a5d5-4c9a-9061-ec6501f7fcd6,Yes,No
018a0826-b8a2-4cd3-9c26-d409d9fcd720,Yes,No
01b27f7c-e580-4faf-9546-5f0bd6d66205,Yes,No
01b4ce05-48da-4b8b-a853-cdb330ec571a,Yes,No
01b9cf57-a8f3-4502-bd8b-df80fad8afb5,Yes,No
01e2a335-52fc-4199-b62c-0eed7dcfd135,Yes,No
01e4fb9b-9f77-45bf-8574-01ebe15b164d,Yes,No
0200fe2c-b5b1-4b69-bd8a-74841132809f,Yes,No
020a5393-8484-48e8-b388-cff3ad0642ef,Yes,No
021b93da-a749-4c1b-82f9-dd6b56af7dd9,Yes,No
021d5359-92a6-49a4-8bbd-926c0c8f2894,Yes,No
025727b3-0485-4476-9d4e-e097e4f0d166,Yes,No
02690c2b-3d63-48e5-aec3-e740158173f4,Yes,No
0299f908-0838-475d-af3b-809a064642e6,Yes,No
02a61fc2-28db-42e9-9821-e29d032ba4f2,Yes,No
02aaa414-c0e8-4e54-bb6c-4ffe85a4331b,Yes,No
02b0527f-9c0b-48ec-b948-604c351ab84a,Yes,No
03013e3f-e92d-4adf-8b61-ebcca440d10a,Yes,No
030b10f0-40e0-43fd-826f-5586da55e564,Yes,No
0324e465-d536-43da-9f42-5f1109cee8c9,Yes,No
0360f503-2727-470d-94a3-7e3bdfe3231d,Yes,No
036201a4-254f-4242-b5c7-41daeb45fc5e,Yes,No
036e9f9f-ad53-4ab6-941f-3d749db9c141,Yes,No
03817276-a6b9-4145-94a7-f031b05d5256,Yes,No
03c31d29-7088-4c06-809d-6a1799e6d9f0,Yes,No
03d40fc2-d435-472e-90a2-049dc55b99fd,Yes,No
03e4f031-2261-49f6-a2fe-71a25d2e8be4,Yes,No
040bba7c-70cc-46ee-a60c-0ccb8502c3a7,Yes,No
